iter	Passed	Remaining
0	147	147293
1	152	75974
2	160	53216
3	165	41139
4	169	33821
5	175	29097
6	179	25533
7	184	22849
8	189	20851
9	193	19183
10	197	17800
11	202	16698
12	207	15749
13	211	14909
14	216	14214
15	220	13589
16	224	13008
17	227	12426
18	230	11917
19	232	11414
20	234	10948
21	236	10526
22	238	10140
23	240	9773
24	241	9435
25	243	9130
26	245	8837
27	246	8566
28	247	8302
29	249	8058
30	250	7828
31	251	7614
32	253	7416
33	254	7228
34	255	7053
35	257	6886
36	258	6724
37	259	6570
38	260	6425
39	261	6283
40	262	6143
41	263	6012
42	264	5889
43	265	5771
44	266	5656
45	267	5546
46	268	5439
47	269	5347
48	270	5252
49	271	5159
50	272	5068
51	273	4980
52	274	4896
53	274	4815
54	275	4737
55	276	4662
56	277	4588
57	278	4517
58	279	4450
59	279	4384
60	280	4321
61	281	4259
62	282	4200
63	283	4147
64	284	4096
65	285	4043
66	286	3990
67	287	3938
68	288	3889
69	289	3840
70	289	3793
71	290	3747
72	291	3702
73	292	3659
74	293	3617
75	294	3576
76	294	3536
77	295	3496
78	296	3458
79	297	3420
80	299	3392
81	300	3359
82	300	3320
83	301	3287
84	302	3254
85	303	3222
86	304	3190
87	304	3160
88	305	3130
89	306	3101
90	307	3072
91	308	3044
92	309	3016
93	310	2989
94	310	2962
95	311	2936
96	313	2921
97	314	2897
98	315	2872
99	316	2847
100	317	2823
101	318	2799
102	318	2776
103	319	2754
104	320	2731
105	321	2709
106	322	2688
107	322	2667
108	323	2646
109	324	2626
110	325	2606
111	326	2587
112	327	2572
113	328	2555
114	329	2537
115	330	2518
116	331	2499
117	332	2482
118	332	2465
119	333	2447
120	334	2430
121	335	2412
122	336	2396
123	336	2380
124	337	2364
125	338	2349
126	339	2333
127	340	2318
128	341	2303
129	342	2290
130	343	2277
131	344	2262
132	344	2248
133	345	2234
134	346	2221
135	347	2207
136	348	2193
137	349	2180
138	349	2167
139	350	2154
140	351	2142
141	352	2128
142	353	2116
143	353	2103
144	354	2092
145	355	2080
146	356	2070
147	357	2060
148	358	2049
149	359	2038
150	360	2026
151	361	2015
152	362	2004
153	362	1993
154	363	1983
155	364	1972
156	365	1962
157	366	1952
158	367	1942
159	368	1932
160	368	1921
161	369	1912
162	370	1902
163	371	1894
164	372	1885
165	373	1876
166	374	1866
167	375	1857
168	375	1848
169	376	1839
170	377	1830
171	378	1821
172	379	1813
173	380	1804
174	381	1796
175	381	1788
176	382	1779
177	383	1771
178	384	1763
179	385	1755
180	386	1749
181	387	1741
182	388	1733
183	389	1726
184	389	1718
185	390	1710
186	391	1702
187	392	1695
188	393	1687
189	394	1680
190	394	1672
191	395	1665
192	396	1658
193	397	1651
194	398	1644
195	399	1637
196	400	1630
197	401	1625
198	402	1618
199	403	1612
200	403	1605
201	404	1598
202	405	1592
203	406	1586
204	407	1579
205	408	1572
206	408	1566
207	409	1560
208	410	1554
209	411	1548
210	412	1542
211	413	1535
212	414	1529
213	415	1524
214	416	1520
215	417	1514
216	418	1508
217	418	1502
218	419	1496
219	420	1490
220	421	1485
221	422	1479
222	422	1473
223	423	1468
224	424	1463
225	425	1457
226	426	1452
227	427	1446
228	428	1441
229	428	1436
230	430	1431
231	431	1427
232	431	1421
233	432	1416
234	433	1411
235	434	1406
236	435	1401
237	436	1396
238	436	1391
239	437	1386
240	438	1381
241	439	1376
242	440	1371
243	441	1366
244	441	1361
245	442	1357
246	443	1352
247	444	1348
248	445	1344
249	446	1339
250	447	1335
251	448	1330
252	449	1326
253	449	1321
254	450	1316
255	451	1312
256	452	1307
257	453	1303
258	454	1299
259	454	1294
260	455	1290
261	456	1286
262	457	1281
263	458	1278
264	459	1275
265	460	1271
266	461	1267
267	462	1263
268	463	1259
269	464	1254
270	464	1250
271	465	1246
272	466	1242
273	467	1238
274	468	1234
275	468	1230
276	469	1226
277	470	1222
278	471	1218
279	472	1214
280	473	1212
